Name,ZoneID,纬度,经度,可达性,归一化结果,,,,,,,,,,,
双水碾街道,0,30.71069183,104.0844635,606241,0.87718404,,,,,,,,,,,
二仙桥街道,1,30.68292288,104.1314727,597545,0.82107647,,,,,,,,,,,
猛追湾街道,2,30.66492532,104.0934313,603174,0.857395411,,,,,,,,,,,
青龙街道,3,30.7232409,104.1237708,595188,0.805868841,,,,,,,,,,,
双桥子街道,4,30.6528213,104.103014,600496,0.840116654,,,,,,,,,,,
建设路街道,5,30.67501731,104.1066059,605758,0.87406767,,,,,,,,,,,
府青路街道,6,30.69250854,104.0999682,605558,0.872777247,,,,,,,,,,,
新鸿路街道,7,30.66169658,104.1064411,604007,0.862770021,,,,,,,,,,,
龙潭街道,8,30.70264834,104.1800138,555147,0.547519808,,,,,,,,,,,
桃蹊路街道,9,30.68579891,104.1086294,605422,0.87189976,,,,,,,,,,,
万年场街道,10,30.65142435,104.1276836,595733,0.809385243,,,,,,,,,,,
跳蹬河街道,11,30.66906403,104.1228644,601148,0.844323431,,,,,,,,,,,
保和街道,12,30.63872294,104.1425604,574657,0.673400521,,,,,,,,,,,
圣灯街道,13,30.68689551,104.1425654,589677,0.77031125,,,,,,,,,,,
凤凰山街道,14,30.73219073,104.0820042,604445,0.865596046,,,,,,,,,,,
人民北路街道,15,30.68392075,104.0613329,604644,0.866880017,,,,,,,,,,,
天回镇街道,16,30.76977698,104.0969931,584483,0.736798978,,,,,,,,,,,
驷马桥街道,17,30.68708315,104.0844117,606465,0.878629313,,,,,,,,,,,
黄忠街道,18,30.69018612,104.0131833,594280,0.800010323,,,,,,,,,,,
西安路街道,19,30.67522919,104.0397227,597294,0.81945699,,,,,,,,,,,
抚琴街道,20,30.68898728,104.0427488,600806,0.842116809,,,,,,,,,,,
茶店子街道,21,30.69551051,104.0222947,597791,0.82266369,,,,,,,,,,,
金泉街道,22,30.71480368,103.9854275,576179,0.683220636,,,,,,,,,,,
荷花池街道,23,30.69349939,104.0680885,606916,0.881539216,,,,,,,,,,,
五块石街道,24,30.70937546,104.0632756,606719,0.88026815,,,,,,,,,,,
沙河源街道,25,30.73154977,104.0501418,606581,0.879377758,,,,,,,,,,,
营门口街道,26,30.70348051,104.0334433,603062,0.856672775,,,,,,,,,,,
西华街道,27,30.73334737,104.0133595,586776,0.751593672,,,,,,,,,,,
九里堤街道,28,30.70564704,104.0486142,606145,0.876564637,,,,,,,,,,,
